iter	Accuracy	MultiClass
344	0.8879235447	0.3405447265
345	0.8885208514	0.3402735637
346	0.8884122502	0.3400435279
347	0.8884665508	0.3398721415
348	0.8884665508	0.3397836989
349	0.8889009557	0.3395945257
350	0.8888466551	0.3394959378
351	0.8894982624	0.338813711
352	0.8900412685	0.3386818747
353	0.8899869679	0.3385087015
354	0.8897697654	0.3382857161
355	0.8900412685	0.3380588586
356	0.8899869679	0.3378541958
357	0.8902584709	0.3376303524
358	0.8906928758	0.3373445981
359	0.8911815812	0.3364568679
360	0.8911272806	0.3363094248
361	0.8914530843	0.335967909
362	0.8911272806	0.3356335495
363	0.8913444831	0.3353334726
364	0.8914530843	0.3351251872
365	0.8917245873	0.3349273797
366	0.8914530843	0.3347114794
367	0.8917788879	0.334100871
368	0.8921046916	0.3336382311
369	0.8924847958	0.3329849086
370	0.8929735013	0.3325947
371	0.8937880104	0.3323241172
372	0.893842311	0.3319006119
373	0.8938966116	0.3317665634
374	0.8946568202	0.33157662
375	0.8949826238	0.3313993449
376	0.8952541268	0.3307848953
377	0.8951455256	0.3306311351
378	0.8951998262	0.3304900313
379	0.8954713293	0.3302889732
380	0.8961772372	0.3298708129
381	0.8962858384	0.3295733344
382	0.8958514335	0.3293257856
383	0.8967202433	0.3289791628
384	0.8972632493	0.3285843311
385	0.8974804518	0.328353279
386	0.8975347524	0.3280849112
387	0.897860556	0.3278755382
388	0.8981320591	0.3274794473
389	0.8979691573	0.3274141171
390	0.8983492615	0.3271230936
391	0.8984035621	0.3269720032
392	0.8987836664	0.3267869673
393	0.8990551694	0.326261769
394	0.8993266725	0.3259169087
395	0.8993809731	0.325748663
396	0.8996524761	0.3256376329
397	0.8996524761	0.3253432948
398	0.9002497828	0.3249085209
399	0.9003040834	0.3247005014
400	0.9004669852	0.324126908
401	0.9006841877	0.323942492
402	0.9010642919	0.3235873219
403	0.9009556907	0.3230171164
404	0.9008470895	0.3226964815
405	0.9011185925	0.3224829733
406	0.9011728931	0.3222714801
407	0.9010642919	0.322006663
408	0.9014443962	0.3214132576
409	0.9014443962	0.3210503929
410	0.9014986968	0.3203865964
411	0.9023132059	0.3201193877
412	0.9024761077	0.3200062507
413	0.9024218071	0.3198098241
414	0.9022046047	0.3195126983
415	0.9027476108	0.3193299441
416	0.9031820156	0.318575044
417	0.9030191138	0.3183346317
418	0.9028019114	0.3177419874
419	0.9031820156	0.3175158207
420	0.9037250217	0.3173260274
421	0.9039422242	0.3169553598
422	0.9039965248	0.3167068775
423	0.9044309296	0.316555402
424	0.9045938315	0.3163350331
425	0.9044852302	0.3159516233
426	0.9043223284	0.3156891029
427	0.9044309296	0.315487339
428	0.9047567333	0.3152920561
429	0.9049739357	0.31515399
430	0.9052454387	0.3149567713
431	0.905625543	0.3147185473
432	0.9058427454	0.3144738693
433	0.9060056473	0.3143299511
434	0.9060599479	0.3141404292
435	0.9060599479	0.3140106173
436	0.9063857515	0.3135383029
437	0.9064400521	0.3132891098
438	0.9069830582	0.3130774657
439	0.9072545613	0.31239962
440	0.9074717637	0.3120851537
441	0.9076889661	0.3115708204
442	0.9076346655	0.3114109202
443	0.908123371	0.3111884308
444	0.908123371	0.3109356607
445	0.9085577758	0.3104705266
446	0.9086120765	0.3100534728
447	0.9082319722	0.3099165788
448	0.9086120765	0.3096917468
449	0.9084491746	0.3091909457
450	0.9086120765	0.3090440506
451	0.9090464813	0.3085502892
452	0.9098066898	0.3083386946
453	0.9095894874	0.3081517602
454	0.9098066898	0.3079688203
455	0.9098066898	0.3077440665
456	0.9099152911	0.3075114116
457	0.9102953953	0.3073526015
458	0.9101867941	0.3070089254
459	0.9105125977	0.3066060836
460	0.9104039965	0.3060746
461	0.9105125977	0.3059123283
462	0.910892702	0.305540667
463	0.9107298002	0.3049072755
464	0.9111099044	0.3045859444
465	0.9114900087	0.3043569618
466	0.9114357081	0.3042216932
467	0.9114900087	0.3040274761
468	0.9115443093	0.3038960119
469	0.9117072111	0.3036983655
470	0.9119787142	0.303375881
471	0.9120873154	0.3031848806
472	0.9119787142	0.3030664018
473	0.9122502172	0.3027881308
474	0.9118701129	0.3025338451
475	0.9123588184	0.3023703163
476	0.9124674196	0.3019887585
477	0.9127932233	0.3017831855
478	0.9127389227	0.3014256963
479	0.9126846221	0.301225491
480	0.9129018245	0.3010760665
481	0.9130104257	0.3008124788
482	0.91339053	0.3003144485
483	0.9134991312	0.3001003638
484	0.9138249348	0.2998642953
485	0.9139878367	0.2996670658
486	0.9141507385	0.2993715279
487	0.9143679409	0.2990101806
488	0.9145851434	0.2987658541
489	0.9145851434	0.2986168534
490	0.9147480452	0.2983872485
491	0.9152910513	0.2980027454
492	0.9152367507	0.2977090506
493	0.9152910513	0.297451884
494	0.9152910513	0.2972857467
495	0.9156711555	0.297142579
496	0.9157254561	0.2970157212
497	0.9157254561	0.2968086924
498	0.9157254561	0.2967288199
499	0.9159426586	0.2964189885
500	0.9162141616	0.296074703
501	0.916431364	0.2958795557
502	0.916431364	0.2956679181
503	0.9168657689	0.2955393329
504	0.9170286707	0.295399164
505	0.9173001738	0.2951328232
506	0.9173001738	0.2950212056
507	0.9170829713	0.2948952492
508	0.9174630756	0.2947521215
509	0.917408775	0.2945423693
510	0.917408775	0.2943921278
511	0.9173544744	0.2942539802
512	0.9173001738	0.2939797167
513	0.917408775	0.2938160243
514	0.9177345786	0.293657079
515	0.917680278	0.2931983781
